"bf_prior_id","design_case_id","family","tier","bf_type","prior_form","analysis_prior","tags","rationale"
"z-nmbf01-moment-null0-psd0p35355339-on-z-dpoint-0p2-usd1-short","z-dpoint-0p2-usd1-short","z","short","moment","moment","null=0;psd=0.353553390593274","z;nmbf01;moment-prior","narrower moment alternative"
"z-nmbf01-moment-null0-psd0p70710678-on-z-dpoint-0p2-usd1-short","z-dpoint-0p2-usd1-short","z","short","moment","moment","null=0;psd=0.707106781186547","z;nmbf01;moment-prior","broader moment alternative"
"z-bf01-point-null0-pm0p2-psd0-on-z-dpoint-0p5-usd1-short","z-dpoint-0p5-usd1-short","z","short","normal","point","null=0;pm=0.2;psd=0","z;bf01;point-prior","local point alternative"
"z-bf01-point-null0-pm0p5-psd0-on-z-dpoint-0p5-usd1-short","z-dpoint-0p5-usd1-short","z","short","normal","point","null=0;pm=0.5;psd=0","z;bf01;point-prior","moderate point alternative"
"z-bf01-normal-null0-pm0-psd0p70710678-on-z-dpoint-0p5-usd1-short","z-dpoint-0p5-usd1-short","z","short","normal","normal","null=0;pm=0;psd=0.707106781186547","z;bf01;normal-prior","centered default-scale normal alternative"
"z-bf01-normal-null0-pm0p2-psd0p3-on-z-dpoint-0p5-usd1-short","z-dpoint-0p5-usd1-short","z","short","normal","normal","null=0;pm=0.2;psd=0.3","z;bf01;normal-prior","uncertain local normal alternative"
"z-dirbf01-directional-normal-null0-pm0-psd0p70710678-on-z-dpoint-0p5-usd1-short","z-dpoint-0p5-usd1-short","z","short","directional","directional-normal","null=0;pm=0;psd=0.707106781186547","z;dirbf01;directional-normal-prior","directional normal alternative"
"z-nmbf01-moment-null0-psd0p35355339-on-z-dpoint-0p5-usd1-short","z-dpoint-0p5-usd1-short","z","short","moment","moment","null=0;psd=0.353553390593274","z;nmbf01;moment-prior","narrower moment alternative"
"z-nmbf01-moment-null0-psd0p70710678-on-z-dpoint-0p5-usd1-short","z-dpoint-0p5-usd1-short","z","short","moment","moment","null=0;psd=0.707106781186547","z;nmbf01;moment-prior","broader moment alternative"
"z-bf01-point-null0-pm0p2-psd0-on-z-dnorm-0p5-s0p1-usd1-short","z-dnorm-0p5-s0p1-usd1-short","z","short","normal","point","null=0;pm=0.2;psd=0","z;bf01;point-prior","local point alternative"
"z-bf01-point-null0-pm0p5-psd0-on-z-dnorm-0p5-s0p1-usd1-short","z-dnorm-0p5-s0p1-usd1-short","z","short","normal","point","null=0;pm=0.5;psd=0","z;bf01;point-prior","moderate point alternative"
"z-bf01-normal-null0-pm0-psd0p70710678-on-z-dnorm-0p5-s0p1-usd1-short","z-dnorm-0p5-s0p1-usd1-short","z","short","normal","normal","null=0;pm=0;psd=0.707106781186547","z;bf01;normal-prior","centered default-scale normal alternative"
"z-bf01-normal-null0-pm0p2-psd0p3-on-z-dnorm-0p5-s0p1-usd1-short","z-dnorm-0p5-s0p1-usd1-short","z","short","normal","normal","null=0;pm=0.2;psd=0.3","z;bf01;normal-prior","uncertain local normal alternative"
"z-dirbf01-directional-normal-null0-pm0-psd0p70710678-on-z-dnorm-0p5-s0p1-usd1-short","z-dnorm-0p5-s0p1-usd1-short","z","short","directional","directional-normal","null=0;pm=0;psd=0.707106781186547","z;dirbf01;directional-normal-prior","directional normal alternative"
"z-nmbf01-moment-null0-psd0p35355339-on-z-dnorm-0p5-s0p1-usd1-short","z-dnorm-0p5-s0p1-usd1-short","z","short","moment","moment","null=0;psd=0.353553390593274","z;nmbf01;moment-prior","narrower moment alternative"
"z-nmbf01-moment-null0-psd0p70710678-on-z-dnorm-0p5-s0p1-usd1-short","z-dnorm-0p5-s0p1-usd1-short","z","short","moment","moment","null=0;psd=0.707106781186547","z;nmbf01;moment-prior","broader moment alternative"
"z-bf01-point-null0-pm0p2-psd0-on-z-dnorm-0p2-s0p3-usd1-short","z-dnorm-0p2-s0p3-usd1-short","z","short","normal","point","null=0;pm=0.2;psd=0","z;bf01;point-prior","local point alternative"
"z-bf01-point-null0-pm0p5-psd0-on-z-dnorm-0p2-s0p3-usd1-short","z-dnorm-0p2-s0p3-usd1-short","z","short","normal","point","null=0;pm=0.5;psd=0","z;bf01;point-prior","moderate point alternative"
"z-bf01-normal-null0-pm0-psd0p70710678-on-z-dnorm-0p2-s0p3-usd1-short","z-dnorm-0p2-s0p3-usd1-short","z","short","normal","normal","null=0;pm=0;psd=0.707106781186547","z;bf01;normal-prior","centered default-scale normal alternative"
"z-bf01-normal-null0-pm0p2-psd0p3-on-z-dnorm-0p2-s0p3-usd1-short","z-dnorm-0p2-s0p3-usd1-short","z","short","normal","normal","null=0;pm=0.2;psd=0.3","z;bf01;normal-prior","uncertain local normal alternative"
"z-dirbf01-directional-normal-null0-pm0-psd0p70710678-on-z-dnorm-0p2-s0p3-usd1-short","z-dnorm-0p2-s0p3-usd1-short","z","short","directional","directional-normal","null=0;pm=0;psd=0.707106781186547","z;dirbf01;directional-normal-prior","directional normal alternative"
"z-nmbf01-moment-null0-psd0p35355339-on-z-dnorm-0p2-s0p3-usd1-short","z-dnorm-0p2-s0p3-usd1-short","z","short","moment","moment","null=0;psd=0.353553390593274","z;nmbf01;moment-prior","narrower moment alternative"
"z-nmbf01-moment-null0-psd0p70710678-on-z-dnorm-0p2-s0p3-usd1-short","z-dnorm-0p2-s0p3-usd1-short","z","short","moment","moment","null=0;psd=0.707106781186547","z;nmbf01;moment-prior","broader moment alternative"
"z-bf01-point-null0-pm0p2-psd0-on-z-dnorm-0p2-s0p5-usd1-short","z-dnorm-0p2-s0p5-usd1-short","z","short","normal","point","null=0;pm=0.2;psd=0","z;bf01;point-prior","local point alternative"
"z-bf01-point-null0-pm0p5-psd0-on-z-dnorm-0p2-s0p5-usd1-short","z-dnorm-0p2-s0p5-usd1-short","z","short","normal","point","null=0;pm=0.5;psd=0","z;bf01;point-prior","moderate point alternative"
"z-bf01-normal-null0-pm0-psd0p70710678-on-z-dnorm-0p2-s0p5-usd1-short","z-dnorm-0p2-s0p5-usd1-short","z","short","normal","normal","null=0;pm=0;psd=0.707106781186547","z;bf01;normal-prior","centered default-scale normal alternative"
"z-bf01-normal-null0-pm0p2-psd0p3-on-z-dnorm-0p2-s0p5-usd1-short","z-dnorm-0p2-s0p5-usd1-short","z","short","normal","normal","null=0;pm=0.2;psd=0.3","z;bf01;normal-prior","uncertain local normal alternative"
"z-dirbf01-directional-normal-null0-pm0-psd0p70710678-on-z-dnorm-0p2-s0p5-usd1-short","z-dnorm-0p2-s0p5-usd1-short","z","short","directional","directional-normal","null=0;pm=0;psd=0.707106781186547","z;dirbf01;directional-normal-prior","directional normal alternative"
"z-nmbf01-moment-null0-psd0p35355339-on-z-dnorm-0p2-s0p5-usd1-short","z-dnorm-0p2-s0p5-usd1-short","z","short","moment","moment","null=0;psd=0.353553390593274","z;nmbf01;moment-prior","narrower moment alternative"
"z-nmbf01-moment-null0-psd0p70710678-on-z-dnorm-0p2-s0p5-usd1-short","z-dnorm-0p2-s0p5-usd1-short","z","short","moment","moment","null=0;psd=0.707106781186547","z;nmbf01;moment-prior","broader moment alternative"
"z-bf01-point-null0-pm0p2-psd0-on-z-dnorm-0-s0p5-usd1-short","z-dnorm-0-s0p5-usd1-short","z","adversarial","normal","point","null=0;pm=0.2;psd=0","z;bf01;point-prior","local point alternative"
"z-bf01-point-null0-pm0p5-psd0-on-z-dnorm-0-s0p5-usd1-short","z-dnorm-0-s0p5-usd1-short","z","adversarial","normal","point","null=0;pm=0.5;psd=0","z;bf01;point-prior","moderate point alternative"
"z-bf01-normal-null0-pm0-psd0p70710678-on-z-dnorm-0-s0p5-usd1-short","z-dnorm-0-s0p5-usd1-short","z","adversarial","normal","normal","null=0;pm=0;psd=0.707106781186547","z;bf01;normal-prior","centered default-scale normal alternative"
"z-bf01-normal-null0-pm0p2-psd0p3-on-z-dnorm-0-s0p5-usd1-short","z-dnorm-0-s0p5-usd1-short","z","adversarial","normal","normal","null=0;pm=0.2;psd=0.3","z;bf01;normal-prior","uncertain local normal alternative"
"z-dirbf01-directional-normal-null0-pm0-psd0p70710678-on-z-dnorm-0-s0p5-usd1-short","z-dnorm-0-s0p5-usd1-short","z","adversarial","directional","directional-normal","null=0;pm=0;psd=0.707106781186547","z;dirbf01;directional-normal-prior","directional normal alternative"
"z-nmbf01-moment-null0-psd0p35355339-on-z-dnorm-0-s0p5-usd1-short","z-dnorm-0-s0p5-usd1-short","z","adversarial","moment","moment","null=0;psd=0.353553390593274","z;nmbf01;moment-prior","narrower moment alternative"
"z-nmbf01-moment-null0-psd0p70710678-on-z-dnorm-0-s0p5-usd1-short","z-dnorm-0-s0p5-usd1-short","z","adversarial","moment","moment","null=0;psd=0.707106781186547","z;nmbf01;moment-prior","broader moment alternative"
"z-bf01-point-null0-pm0p2-psd0-on-z-dpoint-m0p3-usd1-short","z-dpoint-m0p3-usd1-short","z","adversarial","normal","point","null=0;pm=0.2;psd=0","z;bf01;point-prior","local point alternative"
"z-bf01-point-null0-pm0p5-psd0-on-z-dpoint-m0p3-usd1-short","z-dpoint-m0p3-usd1-short","z","adversarial","normal","point","null=0;pm=0.5;psd=0","z;bf01;point-prior","moderate point alternative"
"z-bf01-normal-null0-pm0-psd0p70710678-on-z-dpoint-m0p3-usd1-short","z-dpoint-m0p3-usd1-short","z","adversarial","normal","normal","null=0;pm=0;psd=0.707106781186547","z;bf01;normal-prior","centered default-scale normal alternative"
"z-bf01-normal-null0-pm0p2-psd0p3-on-z-dpoint-m0p3-usd1-short","z-dpoint-m0p3-usd1-short","z","adversarial","normal","normal","null=0;pm=0.2;psd=0.3","z;bf01;normal-prior","uncertain local normal alternative"
"z-dirbf01-directional-normal-null0-pm0-psd0p70710678-on-z-dpoint-m0p3-usd1-short","z-dpoint-m0p3-usd1-short","z","adversarial","directional","directional-normal","null=0;pm=0;psd=0.707106781186547","z;dirbf01;directional-normal-prior","directional normal alternative"
"z-nmbf01-moment-null0-psd0p35355339-on-z-dpoint-m0p3-usd1-short","z-dpoint-m0p3-usd1-short","z","adversarial","moment","moment","null=0;psd=0.353553390593274","z;nmbf01;moment-prior","narrower moment alternative"
"z-nmbf01-moment-null0-psd0p70710678-on-z-dpoint-m0p3-usd1-short","z-dpoint-m0p3-usd1-short","z","adversarial","moment","moment","null=0;psd=0.707106781186547","z;nmbf01;moment-prior","broader moment alternative"
"z-bf01-point-null0-pm0p2-psd0-on-z-dpoint-0-usd1-long","z-dpoint-0-usd1-long","z","long","normal","point","null=0;pm=0.2;psd=0","z;bf01;point-prior","local point alternative"
"z-bf01-point-null0-pm0p5-psd0-on-z-dpoint-0-usd1-long","z-dpoint-0-usd1-long","z","long","normal","point","null=0;pm=0.5;psd=0","z;bf01;point-prior","moderate point alternative"
"z-bf01-normal-null0-pm0-psd0p70710678-on-z-dpoint-0-usd1-long","z-dpoint-0-usd1-long","z","long","normal","normal","null=0;pm=0;psd=0.707106781186547","z;bf01;normal-prior","centered default-scale normal alternative"
"z-bf01-normal-null0-pm0p2-psd0p3-on-z-dpoint-0-usd1-long","z-dpoint-0-usd1-long","z","long","normal","normal","null=0;pm=0.2;psd=0.3","z;bf01;normal-prior","uncertain local normal alternative"
"z-dirbf01-directional-normal-null0-pm0-psd0p70710678-on-z-dpoint-0-usd1-long","z-dpoint-0-usd1-long","z","long","directional","directional-normal","null=0;pm=0;psd=0.707106781186547","z;dirbf01;directional-normal-prior","directional normal alternative"
"z-nmbf01-moment-null0-psd0p35355339-on-z-dpoint-0-usd1-long","z-dpoint-0-usd1-long","z","long","moment","moment","null=0;psd=0.353553390593274","z;nmbf01;moment-prior","narrower moment alternative"
"z-nmbf01-moment-null0-psd0p70710678-on-z-dpoint-0-usd1-long","z-dpoint-0-usd1-long","z","long","moment","moment","null=0;psd=0.707106781186547","z;nmbf01;moment-prior","broader moment alternative"
"z-bf01-point-null0-pm0p2-psd0-on-z-dpoint-0p2-usd1-long","z-dpoint-0p2-usd1-long","z","long","normal","point","null=0;pm=0.2;psd=0","z;bf01;point-prior","local point alternative"
"z-bf01-point-null0-pm0p5-psd0-on-z-dpoint-0p2-usd1-long","z-dpoint-0p2-usd1-long","z","long","normal","point","null=0;pm=0.5;psd=0","z;bf01;point-prior","moderate point alternative"
"z-bf01-normal-null0-pm0-psd0p70710678-on-z-dpoint-0p2-usd1-long","z-dpoint-0p2-usd1-long","z","long","normal","normal","null=0;pm=0;psd=0.707106781186547","z;bf01;normal-prior","centered default-scale normal alternative"
"z-bf01-normal-null0-pm0p2-psd0p3-on-z-dpoint-0p2-usd1-long","z-dpoint-0p2-usd1-long","z","long","normal","normal","null=0;pm=0.2;psd=0.3","z;bf01;normal-prior","uncertain local normal alternative"
"z-dirbf01-directional-normal-null0-pm0-psd0p70710678-on-z-dpoint-0p2-usd1-long","z-dpoint-0p2-usd1-long","z","long","directional","directional-normal","null=0;pm=0;psd=0.707106781186547","z;dirbf01;directional-normal-prior","directional normal alternative"
"z-nmbf01-moment-null0-psd0p35355339-on-z-dpoint-0p2-usd1-long","z-dpoint-0p2-usd1-long","z","long","moment","moment","null=0;psd=0.353553390593274","z;nmbf01;moment-prior","narrower moment alternative"
"z-nmbf01-moment-null0-psd0p70710678-on-z-dpoint-0p2-usd1-long","z-dpoint-0p2-usd1-long","z","long","moment","moment","null=0;psd=0.707106781186547","z;nmbf01;moment-prior","broader moment alternative"
"z-bf01-point-null0-pm0p2-psd0-on-z-dnorm-0p2-s0p1-usd1-long","z-dnorm-0p2-s0p1-usd1-long","z","long","normal","point","null=0;pm=0.2;psd=0","z;bf01;point-prior","local point alternative"
"z-bf01-point-null0-pm0p5-psd0-on-z-dnorm-0p2-s0p1-usd1-long","z-dnorm-0p2-s0p1-usd1-long","z","long","normal","point","null=0;pm=0.5;psd=0","z;bf01;point-prior","moderate point alternative"
"z-bf01-normal-null0-pm0-psd0p70710678-on-z-dnorm-0p2-s0p1-usd1-long","z-dnorm-0p2-s0p1-usd1-long","z","long","normal","normal","null=0;pm=0;psd=0.707106781186547","z;bf01;normal-prior","centered default-scale normal alternative"
"z-bf01-normal-null0-pm0p2-psd0p3-on-z-dnorm-0p2-s0p1-usd1-long","z-dnorm-0p2-s0p1-usd1-long","z","long","normal","normal","null=0;pm=0.2;psd=0.3","z;bf01;normal-prior","uncertain local normal alternative"
"z-dirbf01-directional-normal-null0-pm0-psd0p70710678-on-z-dnorm-0p2-s0p1-usd1-long","z-dnorm-0p2-s0p1-usd1-long","z","long","directional","directional-normal","null=0;pm=0;psd=0.707106781186547","z;dirbf01;directional-normal-prior","directional normal alternative"
"z-nmbf01-moment-null0-psd0p35355339-on-z-dnorm-0p2-s0p1-usd1-long","z-dnorm-0p2-s0p1-usd1-long","z","long","moment","moment","null=0;psd=0.353553390593274","z;nmbf01;moment-prior","narrower moment alternative"
"z-nmbf01-moment-null0-psd0p70710678-on-z-dnorm-0p2-s0p1-usd1-long","z-dnorm-0p2-s0p1-usd1-long","z","long","moment","moment","null=0;psd=0.707106781186547","z;nmbf01;moment-prior","broader moment alternative"
"z-bf01-point-null0-pm0p2-psd0-on-z-dnorm-0p2-s0p5-usd1-long","z-dnorm-0p2-s0p5-usd1-long","z","long","normal","point","null=0;pm=0.2;psd=0","z;bf01;point-prior","local point alternative"
"z-bf01-point-null0-pm0p5-psd0-on-z-dnorm-0p2-s0p5-usd1-long","z-dnorm-0p2-s0p5-usd1-long","z","long","normal","point","null=0;pm=0.5;psd=0","z;bf01;point-prior","moderate point alternative"
"z-bf01-normal-null0-pm0-psd0p70710678-on-z-dnorm-0p2-s0p5-usd1-long","z-dnorm-0p2-s0p5-usd1-long","z","long","normal","normal","null=0;pm=0;psd=0.707106781186547","z;bf01;normal-prior","centered default-scale normal alternative"
"z-bf01-normal-null0-pm0p2-psd0p3-on-z-dnorm-0p2-s0p5-usd1-long","z-dnorm-0p2-s0p5-usd1-long","z","long","normal","normal","null=0;pm=0.2;psd=0.3","z;bf01;normal-prior","uncertain local normal alternative"
"z-dirbf01-directional-normal-null0-pm0-psd0p70710678-on-z-dnorm-0p2-s0p5-usd1-long","z-dnorm-0p2-s0p5-usd1-long","z","long","directional","directional-normal","null=0;pm=0;psd=0.707106781186547","z;dirbf01;directional-normal-prior","directional normal alternative"
"z-nmbf01-moment-null0-psd0p35355339-on-z-dnorm-0p2-s0p5-usd1-long","z-dnorm-0p2-s0p5-usd1-long","z","long","moment","moment","null=0;psd=0.353553390593274","z;nmbf01;moment-prior","narrower moment alternative"
"z-nmbf01-moment-null0-psd0p70710678-on-z-dnorm-0p2-s0p5-usd1-long","z-dnorm-0p2-s0p5-usd1-long","z","long","moment","moment","null=0;psd=0.707106781186547","z;nmbf01;moment-prior","broader moment alternative"
"z-bf01-point-null0-pm10-psd0-on-z-dpoint-0-usd50-short","z-dpoint-0-usd50-short","z","adversarial","normal","point","null=0;pm=10;psd=0","z;bf01;point-prior","matched extreme-scale point alternative"
"z-bf01-normal-null0-pm10-psd20-on-z-dpoint-0-usd50-short","z-dpoint-0-usd50-short","z","adversarial","normal","normal","null=0;pm=10;psd=20","z;bf01;normal-prior","matched uncertain extreme-scale normal alternative"
"z-bf01-normal-null0-pm0-psd20-on-z-dpoint-0-usd50-short","z-dpoint-0-usd50-short","z","adversarial","normal","normal","null=0;pm=0;psd=20","z;bf01;normal-prior","diffuse extreme-scale normal alternative"
"z-dirbf01-directional-normal-null0-pm0-psd20-on-z-dpoint-0-usd50-short","z-dpoint-0-usd50-short","z","adversarial","directional","directional-normal","null=0;pm=0;psd=20","z;dirbf01;directional-normal-prior","extreme-scale directional normal alternative"
"z-nmbf01-moment-null0-psd7p07106781-on-z-dpoint-0-usd50-short","z-dpoint-0-usd50-short","z","adversarial","moment","moment","null=0;psd=7.07106781186547","z;nmbf01;moment-prior","extreme-scale moment alternative"
"z-bf01-point-null0-pm10-psd0-on-z-dpoint-10-usd50-short","z-dpoint-10-usd50-short","z","adversarial","normal","point","null=0;pm=10;psd=0","z;bf01;point-prior","matched extreme-scale point alternative"
"z-bf01-normal-null0-pm10-psd20-on-z-dpoint-10-usd50-short","z-dpoint-10-usd50-short","z","adversarial","normal","normal","null=0;pm=10;psd=20","z;bf01;normal-prior","matched uncertain extreme-scale normal alternative"
"z-bf01-normal-null0-pm0-psd20-on-z-dpoint-10-usd50-short","z-dpoint-10-usd50-short","z","adversarial","normal","normal","null=0;pm=0;psd=20","z;bf01;normal-prior","diffuse extreme-scale normal alternative"
"z-dirbf01-directional-normal-null0-pm0-psd20-on-z-dpoint-10-usd50-short","z-dpoint-10-usd50-short","z","adversarial","directional","directional-normal","null=0;pm=0;psd=20","z;dirbf01;directional-normal-prior","extreme-scale directional normal alternative"
"z-nmbf01-moment-null0-psd7p07106781-on-z-dpoint-10-usd50-short","z-dpoint-10-usd50-short","z","adversarial","moment","moment","null=0;psd=7.07106781186547","z;nmbf01;moment-prior","extreme-scale moment alternative"
"z-bf01-point-null0-pm10-psd0-on-z-dnorm-10-s20-usd50-short","z-dnorm-10-s20-usd50-short","z","adversarial","normal","point","null=0;pm=10;psd=0","z;bf01;point-prior","matched extreme-scale point alternative"
"z-bf01-normal-null0-pm10-psd20-on-z-dnorm-10-s20-usd50-short","z-dnorm-10-s20-usd50-short","z","adversarial","normal","normal","null=0;pm=10;psd=20","z;bf01;normal-prior","matched uncertain extreme-scale normal alternative"
"z-bf01-normal-null0-pm0-psd20-on-z-dnorm-10-s20-usd50-short","z-dnorm-10-s20-usd50-short","z","adversarial","normal","normal","null=0;pm=0;psd=20","z;bf01;normal-prior","diffuse extreme-scale normal alternative"
"z-dirbf01-directional-normal-null0-pm0-psd20-on-z-dnorm-10-s20-usd50-short","z-dnorm-10-s20-usd50-short","z","adversarial","directional","directional-normal","null=0;pm=0;psd=20","z;dirbf01;directional-normal-prior","extreme-scale directional normal alternative"
"z-nmbf01-moment-null0-psd7p07106781-on-z-dnorm-10-s20-usd50-short","z-dnorm-10-s20-usd50-short","z","adversarial","moment","moment","null=0;psd=7.07106781186547","z;nmbf01;moment-prior","extreme-scale moment alternative"
"z-bf01-point-null0p2-pm0p5-psd0-on-z-dpoint-0p2-usd1-short","z-dpoint-0p2-usd1-short","z","short","normal","point","null=0.2;pm=0.5;psd=0","z;bf01;point-prior","shifted-null point alternative"
"z-bf01-normal-null0p2-pm0p2-psd0p70710678-on-z-dpoint-0p2-usd1-short","z-dpoint-0p2-usd1-short","z","short","normal","normal","null=0.2;pm=0.2;psd=0.707106781186547","z;bf01;normal-prior","shifted-null centered normal alternative"
"z-dirbf01-directional-normal-null0p2-pm0p2-psd0p70710678-on-z-dpoint-0p2-usd1-short","z-dpoint-0p2-usd1-short","z","short","directional","directional-normal","null=0.2;pm=0.2;psd=0.707106781186547","z;dirbf01;directional-normal-prior","shifted-null directional normal alternative"
"z-nmbf01-moment-null0p2-psd0p35355339-on-z-dpoint-0p2-usd1-short","z-dpoint-0p2-usd1-short","z","short","moment","moment","null=0.2;psd=0.353553390593274","z;nmbf01;moment-prior","shifted-null moment alternative"
"z-bf01-point-null0p2-pm0p5-psd0-on-z-dpoint-0p5-usd1-short","z-dpoint-0p5-usd1-short","z","short","normal","point","null=0.2;pm=0.5;psd=0","z;bf01;point-prior","shifted-null point alternative"
"z-bf01-normal-null0p2-pm0p2-psd0p70710678-on-z-dpoint-0p5-usd1-short","z-dpoint-0p5-usd1-short","z","short","normal","normal","null=0.2;pm=0.2;psd=0.707106781186547","z;bf01;normal-prior","shifted-null centered normal alternative"
"z-dirbf01-directional-normal-null0p2-pm0p2-psd0p70710678-on-z-dpoint-0p5-usd1-short","z-dpoint-0p5-usd1-short","z","short","directional","directional-normal","null=0.2;pm=0.2;psd=0.707106781186547","z;dirbf01;directional-normal-prior","shifted-null directional normal alternative"
"z-nmbf01-moment-null0p2-psd0p35355339-on-z-dpoint-0p5-usd1-short","z-dpoint-0p5-usd1-short","z","short","moment","moment","null=0.2;psd=0.353553390593274","z;nmbf01;moment-prior","shifted-null moment alternative"
"z-bf01-point-null0p2-pm0p5-psd0-on-z-dnorm-0p5-s0p1-usd1-short","z-dnorm-0p5-s0p1-usd1-short","z","short","normal","point","null=0.2;pm=0.5;psd=0","z;bf01;point-prior","shifted-null point alternative"
"z-bf01-normal-null0p2-pm0p2-psd0p70710678-on-z-dnorm-0p5-s0p1-usd1-short","z-dnorm-0p5-s0p1-usd1-short","z","short","normal","normal","null=0.2;pm=0.2;psd=0.707106781186547","z;bf01;normal-prior","shifted-null centered normal alternative"
"z-dirbf01-directional-normal-null0p2-pm0p2-psd0p70710678-on-z-dnorm-0p5-s0p1-usd1-short","z-dnorm-0p5-s0p1-usd1-short","z","short","directional","directional-normal","null=0.2;pm=0.2;psd=0.707106781186547","z;dirbf01;directional-normal-prior","shifted-null directional normal alternative"
"z-nmbf01-moment-null0p2-psd0p35355339-on-z-dnorm-0p5-s0p1-usd1-short","z-dnorm-0p5-s0p1-usd1-short","z","short","moment","moment","null=0.2;psd=0.353553390593274","z;nmbf01;moment-prior","shifted-null moment alternative"
"z-bf01-point-null0p2-pm0p5-psd0-on-z-dnorm-0p2-s0p3-usd1-short","z-dnorm-0p2-s0p3-usd1-short","z","short","normal","point","null=0.2;pm=0.5;psd=0","z;bf01;point-prior","shifted-null point alternative"
"z-bf01-normal-null0p2-pm0p2-psd0p70710678-on-z-dnorm-0p2-s0p3-usd1-short","z-dnorm-0p2-s0p3-usd1-short","z","short","normal","normal","null=0.2;pm=0.2;psd=0.707106781186547","z;bf01;normal-prior","shifted-null centered normal alternative"
"z-dirbf01-directional-normal-null0p2-pm0p2-psd0p70710678-on-z-dnorm-0p2-s0p3-usd1-short","z-dnorm-0p2-s0p3-usd1-short","z","short","directional","directional-normal","null=0.2;pm=0.2;psd=0.707106781186547","z;dirbf01;directional-normal-prior","shifted-null directional normal alternative"
"z-nmbf01-moment-null0p2-psd0p35355339-on-z-dnorm-0p2-s0p3-usd1-short","z-dnorm-0p2-s0p3-usd1-short","z","short","moment","moment","null=0.2;psd=0.353553390593274","z;nmbf01;moment-prior","shifted-null moment alternative"
"z-bf01-point-null0p2-pm0p5-psd0-on-z-dnorm-0p2-s0p5-usd1-short","z-dnorm-0p2-s0p5-usd1-short","z","short","normal","point","null=0.2;pm=0.5;psd=0","z;bf01;point-prior","shifted-null point alternative"
"z-bf01-normal-null0p2-pm0p2-psd0p70710678-on-z-dnorm-0p2-s0p5-usd1-short","z-dnorm-0p2-s0p5-usd1-short","z","short","normal","normal","null=0.2;pm=0.2;psd=0.707106781186547","z;bf01;normal-prior","shifted-null centered normal alternative"
"z-dirbf01-directional-normal-null0p2-pm0p2-psd0p70710678-on-z-dnorm-0p2-s0p5-usd1-short","z-dnorm-0p2-s0p5-usd1-short","z","short","directional","directional-normal","null=0.2;pm=0.2;psd=0.707106781186547","z;dirbf01;directional-normal-prior","shifted-null directional normal alternative"
"z-nmbf01-moment-null0p2-psd0p35355339-on-z-dnorm-0p2-s0p5-usd1-short","z-dnorm-0p2-s0p5-usd1-short","z","short","moment","moment","null=0.2;psd=0.353553390593274","z;nmbf01;moment-prior","shifted-null moment alternative"
